Brand,Category,Title,Text,Rating,Date,Source
ASOS,Fast Fashion,So I saw a great deal on the latest…,"So I saw a great deal on the latest Asics running trainers that I'd been looking for for a good while. It was cheaper than last seasons, and £20 cheaper than everywhere else. I read some reviews and was sceptical, but it was a great deal. The delivery was originally set for Thursday, but I got an email saying they hadn't forgot about me but there was a slight delay, and it would now be Monday. I still give 5 stars as arrived on Monday. Great product, price, communication and service on this purchase.",5,2026-07-06 19:07:48+00:00,Trustpilot
ASOS,Fast Fashion,Dreadful,"This is the first and last time I will be using this company. They sold me an out of stock item, initially taking my money with a 10 day refund time. Delivery took over a week. I've been bombarded with emails and they are telling me I signed up for the Premier Service, which I didn't and trying to take more money, after telling me it can't be cancelled.  Awful customer experience.",1,2026-07-06 19:04:45+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Quality product,"Items as advertised, prompt delivery and high quality product as always.",5,2026-07-06 18:56:37+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Bought a linen dress online in the…,"Bought a linen dress  online in the sale, unfortunately,it didn't fit as I expected so I returned it to my local branch. I was pleased to buy another style in a beautiful blue shade in a different simple shape which was very flattering. Refund and repurchase was very straightforward. The quality of linen in both is a lovely weight- very pleased.",5,2026-07-06 18:56:00+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Lovely products,"Lovely products, delivered quickly in fully recyclable packaging.",5,2026-07-06 18:52:23+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Superb customer service,I love shopping with Seasalt. Very clear website. Lovely fabrics and superb customer service.,5,2026-07-06 18:47:56+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I like your styles,"I like your styles. I bought a couple of dresses last year, but I lost weight, now I can buy a few new ones.",4,2026-07-06 18:47:04+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good shape & fabric but ….,Nice not too thin fabric for summer.  Colour (mauve) a bit dull and the length is so granny ish that I am spending £28 to shorten. Ridiculous.   Simple style which is good for me.,4,2026-07-06 18:45:21+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,There is always a warm welcome from the…,"There is always a warm welcome from the assistants in the shop. They are helpful and approachable and go out of their way to help, checking on the computer if a style is not on the hangers. The store is well laid out. The merchantise is beautifully arranged. It is a lovely shopping experience.",5,2026-07-06 18:41:52+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy to order exactly what I wanted for…,Easy to order exactly what I wanted for my sisters birthday. Good value. My sister loves it.,5,2026-07-06 18:25:13+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Love the product,Love the product Customer service were very helpful and efficient when I had a problem,4,2026-07-06 18:13:14+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Love Seasalt,Love Seasalt. Excellent service 👏,5,2026-07-06 17:47:45+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,On time delivery,"On time delivery. Great T shirts, brilliant quality",5,2026-07-06 17:42:39+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Lovely friendly staff,"Lovely friendly staff, very helpful and pleasant in my local store in Morpeth. Always available to give honest opinions regarding size and suitability etc. It is a pleasure to chat to them Love going in to browse and buy!!",5,2026-07-06 17:40:34+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good quality,Love the quality and design,5,2026-07-06 17:38:23+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I chose a lovely necklace,"I chose a lovely necklace, and it was indeed beautiful, understated and elegant. Delivered quickly. I am very happy with my purchase!",5,2026-07-06 17:36:38+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Excellent British company,"Excellent British company!  Great products, delivery and customer service!! Highly recommend",5,2026-07-06 17:33:51+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,The quality of the items is good and the colour is lovely,The quality of the items is good and the colour lovely. Like a previous reviewer I found them a little on the big side but I will do as she has and put some elastic in the back.,5,2026-07-06 17:33:40+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Not Seasalt fault but I still haven't…,"Not Seasalt fault but I still haven't received my purchase Just to clarify no blame for Seasalt, their customer service has contacted me and will help me if not received within next 48hrs. This is Royal mail fault!",3,2026-07-06 17:30:09+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Love Seasalt and is my favourite store,Love Seasalt and is my favourite store.  In store the staff always friendly and make it a pleasure to shop. Quality excellent and easy to make an order online.,5,2026-07-06 17:27:39+00:00,Trustpilot
Missguided,Fast Fashion,DO NOT BUY FROM THIS COMPANY!,"I placed an order a few months ago but was disappointed with the poor quality of the items, so I contacted customer services to arrange a return. I was required to pay an additional £6 to return the goods. At no point was I advised that I needed to obtain or retain a tracking number. After several weeks without any acknowledgement that my return had been received or my refund processed, I contacted them to chase an update. I was then told that no refund would be issued unless I could provide a tracking number—which I no longer had, as I had never been instructed to keep one. Despite months of back-and-forth communication, I have still not received a refund, nor have the returned items been sent back to me. Extremely poor customer service and a complete lack of accountability. I am now out of pocket for both the order and the return postage. Avoid.",1,2026-07-06 17:22:55+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Nice items,"Nice items, prompt delivery. Thanks!",5,2026-07-06 17:10:06+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,sale,"the order came quick, great quality items at a great sale price.",5,2026-07-06 17:03:37+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,love my new dresses,"I ordered four, lovely dresses in the sale.  Really pleased with the quality and fit (I found the size finder on the website really helpful). Delivery and eco packaging really good too.",5,2026-07-06 17:01:52+00:00,Trustpilot
ASOS,Fast Fashion,Super fed up with ASOS customer service…,"Super fed up with ASOS customer service. Been using them for over a decade, love the clothes and the convience but whenever there is a problem, they do nothing to help. Latest problem was, I was charged delivery when I just renewed my premier status. Asked for a refund and was told no. I am a tier 4 A Lister and apparently customer loyalty means nothing.",1,2026-07-06 16:53:07+00:00,Trustpilot
