Brand,Category,Title,Text,Rating,Date,Source,Clean_Text
Lucy & Yak,Ethical Fashion,Amazing support,"To start with, the clothes are amazing! I love the designs, vibrant colours and the nice fabrics. Unfortunately most of the clothes were too big for me so I have to return most of them but I got wonderful support about sending them back, discountcodes and help with finding the correct measurements. So I am very happy about that and hopefully will frolick in my new outfits soon!",5,2026-06-10 20:22:35+00:00,Trustpilot,start clothes amazing love design vibrant colour nice fabric unfortunately clothes big return got wonderful support sending back discountcodes help finding correct measurement happy hopefully frolick new outfit soon
ASOS,Fast Fashion,Placed an order and checked the…,Placed an order and checked the tracking and tracking stated that it was returned to ASOS due to not paying duties. I have never received any notification that duties were owed. Reached out to customer service and was told that I will have to wait 21 business days for a refund due to having to wait for my package to arrive back at ASOS. Carrier service - 0 stars Customer service 1 star Would not recommend ordering from here.,1,2026-06-10 19:47:47+00:00,Trustpilot,placed order checked tracking tracking stated returned asos due paying duty never received notification duty owed reached customer service told wait business day refund due wait package arrive back asos carrier service star customer service star would recommend ordering
Missguided,Fast Fashion,MISSGUIDED now owned by SHEIN,"Purchased 2 tops from MISSGUIDED. Paid for expedited delivery, it still arrived late. Then discovered this was because the parcel was coming from China. Only because I tracked it. This was not clear when ordering. Thought that very odd. Googled it. Apparently MISSGUIDED is now owned by SHEIN. The tops were of extremely poor quality. Shock. Requested to send them back. Made to pay for return postage. This was way back ant the start of April. No refund received and customer services completely ignoring my emails.",1,2026-06-10 19:03:00+00:00,Trustpilot,purchased top missguided paid expedited delivery still arrived late discovered parcel coming china tracked clear ordering thought odd googled apparently missguided owned shein top extremely poor quality shock requested send back made pay return postage way back ant start april refund received customer service completely ignoring email
ASOS,Fast Fashion,"YOU WILL BE CHASING YOUR REFUND, Think before buying from this company",On a the 1st May I made an order that I returned for exchange as it was to big. After waiting two weeks I had received nothing so reached out to the company enquiring why I had not received my exchange or a refund? from thereon in over the following weeks they have continued to fob me off with (“we will send you a refund” “we have informed the Managers who will be in touch” “we have escalated the problem” when I ask them for a timeline they state they don’t have one. I’am now into the sixth week and I’am having to chase them every 4/5 days. They obviously have the idea of ignoring the customer until you either give up or forget. The fact that they continue to send me emails on different offers is such an insult. If I could have given 0 stars believe me I would have.,1,2026-06-10 18:20:41+00:00,Trustpilot,st may made order returned exchange big waiting two week received nothing reached company enquiring received exchange refund thereon following week continued fob send refund informed manager touch escalated problem ask timeline state dont one iam sixth week iam chase every day obviously idea ignoring customer either give forget fact continue send email different offer insult could given star believe would
Boohoo,Fast Fashion,DATA BREACH,DATA BREACH - BOOHOO sent me a coat with another customers bag in the pocket must have been from a previous order so I can see the previous customers name and address this is a security breach and they are not replying to assisting to my emails I don't think they understand the Importance,1,2026-06-10 17:58:30+00:00,Trustpilot,data breach boohoo sent coat another customer bag pocket must previous order see previous customer name address security breach replying assisting email dont think understand importance
ASOS,Fast Fashion,Dress very poor quality and customer…,Dress very poor quality and customer service only through a chat bot,1,2026-06-10 17:50:41+00:00,Trustpilot,dress poor quality customer service chat bot
Missguided,Fast Fashion,AVOID AVOID AVOID,"AVOID AVOID AVOID Really wish I had read the reviews on here before purchasing items from this website. The reviews that they allow to be posted on the website show NO reflection of what this company is like, I wouldn't be surprised if they were fake tbh. I ordered £80 worth of stuff for a hen do and not one item arrived looking like it did on the website. Returns are such a faff I have never experienced anything like it. I was told my order wasn't recognised when requesting a refund on the portal so had to email them. They were quick getting back to me & said I had to create the label myself & cover the cost of the refund which in the end cost me £6!! I did finally get a refund but I think this may have only been because I paid with a credit card as im aware other people from these reviews haven't had a refund at all. Will NEVER use again",1,2026-06-10 17:39:21+00:00,Trustpilot,avoid avoid avoid really wish read review purchasing item website review allow posted website show reflection company like wouldnt surprised fake tbh ordered worth stuff hen one item arrived looking like website return faff never experienced anything like told order wasnt recognised requesting refund portal email quick getting back said create label cover cost refund end cost finally get refund think may paid credit card im aware people review havent refund never use
ASOS,Fast Fashion,"Years of Loyalty, Deeply Disappointing Experience","I have been an ASOS customer for years, but my  experience has been increasingly disappointing in the past few months. ASOS recently informed customers in Ireland that Next Day Delivery is no longer available and that customers wishing to receive a refund for their Premier Delivery subscription must contact customer service. However, the email provided no contact details despite requiring customers to get in touch. ASOS no longer provides a customer service email address or phone number, leaving Live Chat as the only way to contact them. I spent over an hour on chat trying to discuss a refund for a service that ASOS has acknowledged it can no longer provide. I was told I would receive an email confirmation regarding my refund request, but no email was ever received. I was also unable to obtain any timeframe for a response to my complaint. To make matters worse, I had previously reported issues with the Next Day Delivery service and was told nothing could be done. It now appears those issues were part of a wider problem affecting customers in Ireland. The website experience has also deteriorated significantly. Items frequently appear to be available, only to disappear and show as unavailable when selected. My biggest disappointment is not the removal of Next Day Delivery itself, but the way ASOS has handled communication, refunds and customer support. Customers should not have to spend hours chasing refunds for services that are no longer being provided.",1,2026-06-10 17:13:33+00:00,Trustpilot,asos customer year experience increasingly disappointing past month asos recently informed customer ireland next day delivery longer available customer wishing receive refund premier delivery subscription must contact customer service however email provided contact detail despite requiring customer get touch asos longer provides customer service email address phone number leaving live chat way contact spent hour chat trying discus refund service asos acknowledged longer provide told would receive email confirmation regarding refund request email ever received also unable obtain timeframe response complaint make matter worse previously reported issue next day delivery service told nothing could done appears issue part wider problem affecting customer ireland website experience also deteriorated significantly item frequently appear available disappear show unavailable selected biggest disappointment removal next day delivery way asos handled communication refund customer support customer spend hour chasing refund service longer provided
ASOS,Fast Fashion,Dealing with ASOS customer service is…,"Dealing with ASOS customer service is excruciating. I asked for a refund on ASOS Premier, as it isn't explained that it doesn't cover brand partners during the sign-up process. I didn't use the service and asked for a refund within 30 minutes under the cooling off terms in the Consumer Rights Act. They initially refused. I asked to log a complaint and they continued to stall until eventually agreeing to the refund. They promised I'd receive an email confirmation shortly afterward but heard nothing since.",1,2026-06-10 15:19:03+00:00,Trustpilot,dealing asos customer service excruciating asked refund asos premier isnt explained doesnt cover brand partner signup process didnt use service asked refund within minute cooling term consumer right act initially refused asked log complaint continued stall eventually agreeing refund promised id receive email confirmation shortly afterward heard nothing since
ASOS,Fast Fashion,The worst customer service I have ever…,"The worst customer service I have ever received when trying to make a return. I tried to make a return for several items, the system would not let me - first it said it worked then I never received a QR code, then I tried again and it said there were too many items, then I tried again and it only gave me the option for the return to be collected rather than dropped off. I tried to speak to the customer service online chat. The AI assistant asked me 5 times whether I wanted to speak to an agent, which I replied yes every time. Once I was finally through to an agent named Eric Disilva, this person was incredibly unhelpful and slow. He did not listen to the issue and just went ahead and created three InPost returns and said it was important that specific items went with specific returns. It took him over an hour to do this. I did not have any clarity over which items were meant to go with which return. I asked him for a confirmation email of the items that he had selected to be returned and his response was I'll get an automatic email sent at some point, but do not wait for this and just send the parcels off. He then ended the chat without anything being resolved. I will never use asos again. I will never recommend it to anyone. I understand they are trying to reduce the amount that people are returning, but they have now made it impossible to return and have the worst customer service.",1,2026-06-10 14:51:02+00:00,Trustpilot,worst customer service ever received trying make return tried make return several item system would let first said worked never received qr code tried said many item tried gave option return collected rather dropped tried speak customer service online chat ai assistant asked time whether wanted speak agent replied yes every time finally agent named eric disilva person incredibly unhelpful slow listen issue went ahead created three inpost return said important specific item went specific return took hour clarity item meant go return asked confirmation email item selected returned response ill get automatic email sent point wait send parcel ended chat without anything resolved never use asos never recommend anyone understand trying reduce amount people returning made impossible return worst customer service
